title;authors;affiliations;publication;year;paper_type;citation;download;keywords_ieee;keywords_controlled;keywords_non_controlled;keywords_author;url;acronym
"Semantically Enhanced Software Traceability Using Deep Learning Techniques";"Jin Guo|Jinghui Cheng|Jane Cleland-Huang";"Univ. of Notre Dame, Notre Dame, IN, USA|Univ. of Notre Dame, Notre Dame, IN, USA|Univ. of Notre Dame, Notre Dame, IN, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"4";"670";"Semantics|Machine learning|Recurrent neural networks|Standards|Training|Natural language processing|Software";"information retrieval|knowledge representation|learning (artificial intelligence)|program diagnostics|program testing|programming language semantics|recurrent neural nets|safety-critical software|source code (software)|vectors";"semantically enhanced software traceability|deep learning techniques|safety-critical domains|source code|test cases|information retrieval technique|machine learning technique|trace link generation|requirements artifact semantics|domain knowledge|tracing network architecture|word embedding model|recurrent neural network model|word vectors|knowledge representation|domain corpus|sentence semantics|requirements artifacts|positive train control domain|bidirectional gated recurrent unit|BI-GRU|vector space model|latent semantic indexing";"Traceability|Deep Learning|Recurrent Neural Network|Semantic Representation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985645";"ICSE"
"Can Latent Topics in Source Code Predict Missing Architectural Tactics?";"Raghuram Gopalakrishnan|Palak Sharma|Mehdi Mirakhorli|Matthias Galster";"Rochester Inst. of Technol., Rochester, NY, USA|Rochester Inst. of Technol., Rochester, NY, USA|Rochester Inst. of Technol., Rochester, NY, USA|Univ. of Canterbury, Christchurch, New Zealand";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"226";"Recommender systems|Inference algorithms|Training|Machine learning algorithms|Security|Software reliability";"public domain software|recommender systems|software architecture|software quality|software reliability|source code (software)";"source code|missing architectural tactics prediction|software system|system quality analysis|bottom-up approach|latent topics|recommender system|predictor models|open source systems|package-level tactic recommendation generation|Apache Hive|Hadoop";"Architectural design and implementation|tactic recommender|emergent design";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985646";"ICSE"
"Analyzing APIs Documentation and Code to Detect Directive Defects";"Yu Zhou|Ruihang Gu|Taolue Chen|Zhiqiu Huang|Sebastiano Panichella|Harald Gall";"Coll. of Comput. Sci., Nanjing Univ. of Aeronaut. &amp; Astronaut., Nanjing, China|Coll. of Comput. Sci., Nanjing Univ. of Aeronaut. &amp; Astronaut., Nanjing, China|Dept. of Comput. Sci., Middlesex Univ., London, UK|Coll. of Comput. Sci., Nanjing Univ. of Aeronaut. &amp; Astronaut., Nanjing, China|Dept. of Inf., Univ. of Zurich, Zurich, Switzerland|Dept. of Inf., Univ. of Zurich, Zurich, Switzerland";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"396";"Documentation|Natural language processing|Null value|Software|Data mining|Feature extraction|Computer science";"application program interfaces|formal logic|natural language processing|program diagnostics|software maintenance|software quality|system documentation";"API documentation analysis|directive defect detection|API code analysis|application programming interface documents|API comprehension|software quality|natural language processing|program comprehension|first-order logic based constraint solver|parameter constraints|exception throwing declarations|JDK 1.8 API|API usage constraints|defective document directives|precision rate|recall rate";"API documentation|static analysis|natural language processing";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985647";"ICSE"
"An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs";"He Jiang|Jingxuan Zhang|Zhilei Ren|Tao Zhang";"Sch. of Software, Dalian Univ. of Technol., Dalian, China|Sch. of Software, Dalian Univ. of Technol., Dalian, China|Sch. of Software, Dalian Univ. of Technol., Dalian, China|Coll. of Comput. Sci. &amp; Technol., Harbin Eng. Univ., Harbin, China";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"3";"237";"Tutorials|Correlation|Ontologies|Programming|Manuals|Software|Filtering algorithms";"application program interfaces|computer aided instruction|computer science education|grammars|recommender systems|unsupervised learning";"API tutorials|unsupervised approach|Fragment Recommender for APIs with PageRank and Topic model|FRAPT|fragment parser|fragment filter|nonexplanatory fragment identification|variable resolution challenge|pronoun challenge|F-Measure|application programming interfaces";"Application Programming Interface|PageRank Algorithm|Topic Model|Unsupervised Approaches";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985648";"ICSE"
"Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries";"Paige Rodeghero|Siyuan Jiang|Ameer Armaly|Collin McMillan";"Dept. of Comput. Sci. &amp; Eng., Univ. of Notre Dame, Notre Dame, IN, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Notre Dame, Notre Dame, IN, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Notre Dame, Notre Dame, IN, USA|Dept. of Comput. Sci. &amp; Eng., Univ. of Notre Dame, Notre Dame, IN, USA";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"3";"286";"Data mining|Software|Computer bugs|Electronic mail|Software algorithms|Software engineering|Algorithm design and analysis";"software engineering";"user story information detection|developer-client conversations|extractive summaries|software functionality";"developer communication|user story generation|software engineering|productivity|transcripts";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985649";"ICSE"
"Clone Refactoring with Lambda Expressions";"Nikolaos Tsantalis|Davood Mazinanian|Shahriar Rostami";"Comput. Sci. &amp; Software Eng., Concordia Univ., Montreal, QC, Canada|Comput. Sci. &amp; Software Eng., Concordia Univ., Montreal, QC, Canada|Comput. Sci. &amp; Software Eng., Concordia Univ., Montreal, QC, Canada";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"189";"Cloning|Data mining|Java|Europe|Testing|Open source software";"functional programming|Java|lambda calculus|software maintenance";"clone refactoring|lambda expressions|Java 8|functional programming|behavior parameterization|software clones|duplicated code|behavioral differences|Type-2 clones|Type-3 clones";"Refactoring|Code duplication|Lambda expressions";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985650";"ICSE"
"Characterizing and Detecting Anti-Patterns in the Logging Code";"Boyuan Chen|Zhen Ming Jiang";"AnaLytics &amp; Evaluation (SCALE) Lab., York Univ., Toronto, ON, Canada|AnaLytics &amp; Evaluation (SCALE) Lab., York Univ., Toronto, ON, Canada";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"286";"Tools|Open source software|Software systems|Runtime|Computer crashes|Data mining";"data handling|parallel processing|program diagnostics|public domain software|software maintenance|source code (software)";"anti-pattern detection|anti-pattern characterization|system behavior|maintenance overhead|high disk I/O bandwidth|logging code snippets|ActiveMQ|Hadoop|Maven|static code analysis tool|LCAnalyzer|source code|open source software systems|how-to-log problem";"anti-patterns|logging code|logging practices|empirical studies|software maintenance";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985651";"ICSE"
"Automated Refactoring of Legacy Java Software to Default Methods";"Raffi Khatchadourian|Hidehiko Masuhara";"City Univ. of New York, New York, NY, USA|Tokyo Inst. of Technol., Tokyo, Japan";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"2";"252";"Java|Software|Semantics|Concrete|Face|Printing|Syntactics";"Java|software maintenance";"automated refactoring|legacy Java software|software design pattern|fully-automated type constraint-based refactoring approach|Eclipse plug-in|GitHub repositories";"refactoring|java|interfaces|default methods";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985652";"ICSE"
"Supporting Software Developers with a Holistic Recommender System";"Luca Ponzanelli|Simone Scalabrino|Gabriele Bavota|Andrea Mocci|Rocco Oliveto|Massimiliano Di Penta|Michele Lanza";"Univ. della Svizzera Italiana, Lugano, Switzerland|Univ. of Molise, Italy|Univ. della Svizzera Italiana, Lugano, Switzerland|Univ. della Svizzera Italiana, Lugano, Switzerland|Univ. of Molise, Italy|Univ. of Sannio, Benevento, Italy|Univ. della Svizzera Italiana, Lugano, Switzerland";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"0";"386";"Browsers|Uniform resource locators|Recommender systems|Navigation|Web search|User interfaces|Web pages";"information analysis|information retrieval|interactive programming|online front-ends|recommender systems|software engineering";"software developers|holistic recommender system|intelligent support|programming tasks|program entities|pertinent Q&amp;A pages|heterogeneous resources|Libra|information search|information navigation|holistic meta-information model|Web browser|interactive navigation chart|information context analysis|information retrieval|software development";"Mining unstructured data|Recommender systems";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985653";"ICSE"
"Recommending and Localizing Change Requests for Mobile Apps Based on User Reviews";"Fabio Palomba|Pasquale Salza|Adelina Ciurumelea|Sebastiano Panichella|Harald Gall|Filomena Ferrucci|Andrea De Lucia";"Delft Univ. of Technol., Delft, Netherlands|Univ. of Salerno, Fisciano, Italy|Univ. of Zurich, Zurich, Switzerland|Univ. of Zurich, Zurich, Switzerland|Univ. of Zurich, Zurich, Switzerland|Univ. of Salerno, Fisciano, Italy|Univ. of Salerno, Fisciano, Italy";"Software Engineering (ICSE), 2017 IEEE/ACM 39th International Conference on";"2017";"Conference Publication";"1";"340";"Computer bugs|Mobile communication|Joining processes|Tools|Maintenance engineering|Software|Feature extraction";"mobile computing|natural language processing|source code (software)";"textual based heuristics|CHANGEADVISOR|user feedback|source code components|mobile apps";"Mobile Apps|Mining User Reviews|Natural Language Processing|Impact Analysis";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985654";"ICSE"
