title;authors;affiliations;publication;year;paper_type;citation;download;keywords_ieee;keywords_controlled;keywords_non_controlled;keywords_author;url;acronym
"How We Refactor, and How We Know It";"Emerson Murphy-Hill|Chris Parnin|Andrew P. Black";"North Carolina State University, Raleigh|Georgia Institute of Technology, Atlanta|Portland State University, Portland";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"109";"2089";"Java|Software tools|Refactoring";"software tools|software maintenance";"Mylyn developers|research and development|refactoring tools|randomly sampled code|Eclipse developers";"root-canal refactoring.|Refactoring|refactoring tools|floss refactoring";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6112738";"TOSE"
"Work Item Tagging: Communicating Concerns in Collaborative Software Development";"Christoph Treude|Margaret-Anne Storey";"University of Victoria, Victoria|University of Victoria, Victoria";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"22";"1286";"Tagging|Programming|Collaboration|Software engineering|Data mining";"software development management|groupware|information retrieval";"team-based software development practice|work item tagging|collaborative software development project|social computing mechanism|tag vocabulary|lightweight informal tool support";"work items.|Tagging|collaboration|software development|task management|articulation work";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5611552";"TOSE"
"Invariant-Based Automatic Testing of Modern Web Applications";"Ali Mesbah|Arie van Deursen|Danny Roest";"University of British Columbia, Vancouver|Delft University of Technology, Delft|Delft University of Technology, Delft";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"44";"2500";"Web and internet services|Browsers|User interfaces|Robots|Servers";"XML|automatic testing|client-server systems|Internet|Java|program testing|trees (mathematics)|user interfaces";"fault revealing capability|invariant-based automatic testing|AJAX-based Web 2.0 application|stateful asynchronous client-server communication|client-side runtime manipulation|state-flow graph|user interface|AJAX-specific fault identification|DOM-tree invariant|fault detection|generic invariant checking component|application-specific state validator";"Ajax.|Automated testing|web applications";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5728834";"TOSE"
"GenProg: A Generic Method for Automatic Software Repair";"Claire Le Goues|ThanhVu Nguyen|Stephanie Forrest|Westley Weimer";"University of Virginia, Charlottesville|University of New Mexico, Albuquerque|University of New Mexico, Albuquerque|University of Virginia, Charlottesville";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"149";"2621";"Maintenance engineering|Encoding|Computer bugs|Automatic programming|Debugging|Syntactics";"software maintenance|formal specification|genetic algorithms";"genetic programming|GenProg|automatic software repair|defects repair|legacy programs|formal specifications|program annotations|special coding practices";"testing and debugging.|Automatic programming|corrections";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6035728";"TOSE"
"An Extensible Framework for Improving a Distributed Software System's Deployment Architecture";"Sam Malek|Nenad Medvidovic|Marija Mikic-Rakic";"George Mason University, Fairfax|University of Southern California, Los Angeles|Google Inc., Santa Monica";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"33";"1824";"Software architecture|Quality of service|Distributed processing";"resource allocation|computational complexity|distributed processing|object-oriented methods|quality of service";"execution-time complexity|extensible framework|distributed software system|software component allocation|hardware nodes|quality of service|QoS|tailorable algorithms|system deployment|visual deployment architecture modeling environment|visual deployment architecture analysis environment|precision-time complexity";"self-adaptive software.|Software architecture|software deployment|quality of service";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680912";"TOSE"
"Aspectizing Java Access Control";"Rodolfo Toledo|Angel Nunez|Eric Tanter|Jacques Noye";"University of Chile, Santiago|&#x0C9;cole des Mines de Nantes-INRIA, LINA, Nantes|University of Chile, Santiago|&#x0C9;cole des Mines de Nantes-INRIA, LINA, Nantes";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"5";"930";"Aspect-oriented programming|Access control|Computer architecture|Java|Programming|Computer security";"Java|aspect-oriented programming|authorisation|automata theory";"Chinese wall policy|Java access control aspectization|code scattering|code tangling|security-related concerns|runtime stack inspection|aspect-oriented programming|AspectJ|automata infrastructure|aspects strategies|scoping strategies";"access control.|Programming languages|security|aspect-oriented programming";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680915";"TOSE"
"Aspect-Oriented Refactoring of Legacy Applications: An Evaluation";"Michael Mortensen|Sudipto Ghosh|James Bieman";"Google, Boulder|Colorado State University, Fort Collins|Colorado State University, Fort Collins";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"12";"1022";"Software measurement|Maintenance engineering|Legacy systems|Java|Programming|Aspect-oriented programming";"software maintenance|aspect-oriented programming";"aspect creation|aspect-oriented refactoring|legacy applications|primary claimed benefits|aspect-oriented programming|software understandability|software maintainability|crosscutting concerns|AOP techniques|cost evaluation|benefits evaluation|code size|change locality|concern diffusion|application refactoring";"maintainability.|Aspect-oriented programming|crosscutting concerns|legacy systems|refactoring";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5661792";"TOSE"
"Automated Abstractions for Contract Validation";"Guido de Caso|Victor Braberman|Diego Garbervetsky|Sebastian Uchitel";"FCEyN, Universidad de Buenos Aires, Buenos Aires|FCEyN, Universidad de Buenos Aires, Buenos Aires|FCEyN, Universidad de Buenos Aires, Buenos Aires|FCEyN, Universidad de Buenos Aires, Buenos Aires and Imperial College, London";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"16";"843";"Validation|Software engineering|Object oriented modeling|Protocols|Buffer storage";"software engineering|formal specification";"industrial strength|automated abstractions|contract validation|software engineering|behavior models|postcondition based specifications|precondition based specifications|formal artifacts";"automated abstraction.|Requirements/specifications|validation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5639021";"TOSE"
"Defining and Evaluating a Measure of Open Source Project Survivability";"Uzma Raja|Marietta J. Tretter";"The University of Alabama, Tuscaloosa|Texas A&amp;M University, College Station";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"12";"1082";"Software measurement|Indexes|Maintenance engineering";"software metrics|project management|public domain software";"viability index|open source project survivability|multidimensional measure|open source software project survivability|project viability|vigor|resilience|organization";"software survivability.|Evaluation framework|external validity|open source software|project evaluation|software measurement";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6127835";"TOSE"
"Measuring Code Quality to Improve Specification Mining";"Claire Le Goues|Westley Weimer";"University of Virginia, Charlottesville|University of Virginia, Charlottesville";"IEEE Transactions on Software Engineering";"2012";"Journals & Magazine";"11";"1681";"Software measurement|Refactoring|Data mining|Maintenance engineering|Cloning|Optimization";"software quality|data mining|formal specification|program debugging|program testing";"software engineering process|specification mining|formal specifications|program testing|optimization|refactoring|documentation|debugging|repair|automatic mining techniques|temporal-property miner|code quality metrics";"program understanding.|Specification mining|machine learning|software engineering|code metrics";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5680914";"TOSE"
